ticker,company,GICS_sector,GICS_sub_industry
MDLZ,Mondelez,KFT,Kraft Foods
ADT,ADT,LXK,Lexmark
PNR,Pentair,DV,DeVry
LYB,LyondellBasell,SHLD,Sears Holdings
ESV,Ensco,GR,Goodrich Corporation
STX,Seagate Technology,PGN,Progress Energy
MNST,Monster Beverage,SLE,Sara Lee Corporation
LRCX,Lam Research,NVLS,Novellus Systems
ALXN,Alexion Pharmaceuticals,MMI,Motorola Mobility
KMI,Kinder Morgan,EP,El Paso Corporation
PSX,Phillips 66,SVU,Supervalu
FOSL,Fossil,MHS,Medco Health Solutions
CCI,Crown Castle,CEG,Constellation Energy Group
WPX,WPX Energy,CPWR,Compuware
TRIP,TripAdvisor,TLAB,Tellabs
BWA,BorgWarner,AKS,AK Steel
PRGO,Perrigo,MWW,Monster Worldwide
DLTR,Dollar Tree,WFR,MEMC Electronic Materials
GAS,AGL Resources.,GAS,Nicor Gas
CBE,Cooper Industries,JNS,Janus Capital Group
XYL,Xylem,ITT,ITT
TEL,TE Connectivity,CEPH,Cephalon
MOS,The Mosaic Company,NSM,National Semiconductor
ACN,Accenture,MI,Marshall & Ilsley
MPC,Marathon Oil,RSH,RadioShack
ANR,Alpha Natural Resources,MEE,Massey Energy
CMG,Chipotle Mexican Grill,NOVL,Novell
BLK,BlackRock,GENZ,Genzyme
EW,Edwards Lifesciences,Q,Qwest Communications
COV,Covidien,MFE,McAfee
JOYG,Joy Global,AYE,Allegheny Energy
MMI,Motorola Mobility,MDP,Meredith Corp
CVC,Cablevision,KG,King Pharmaceuticals
FFIV,F5 Networks,EK,Eastman Kodak
NFLX,Netflix,ODP,Office Depot
NFX,Newfield Exploration,NYT,The New York Times Company
IR,Ingersoll-Rand,PTV,Pactiv
TYC,Tyco International,SII,Smith International
CB,Chubb,MIL,Millipore
QEP,QEP Resources,STR,Questar
KMX,CarMax,XTO,XTO Energy
CERN,Cerner,BJS,BJ Services
HP,Helmerich & Payne,RX,IMS Health
V,Visa,CIEN,Ciena
MJN,Mead Johnson Nutrition,DYN,Dynegy
CLF,Cliffs Natural Resources,KBH,KB Home
SAI,SAIC,CVG,Convergys
ROST,Ross Stores,MBI,MBIA
PCLN,Priceline.com,SGP,Schering-Plough
ARG,Airgas,CBE,Cooper Industries
FMC,FMC Corporation,CTX,Centex Corp.
PCS,MetroPCS,,
,,TEL,TE Connectivity
FTI,FMC Technologies,COV,Covidien
HRL,Hormel Foods,ACAS,American Capital
VTR,Ventas,JNY,Jones Apparel Group
OI,Owens-Illinois,WB,Wachovia Bank
HRS,Harris Corporation,LEH,Lehman Brothers
CRM,Salesforce,FRE,Freddie Mac
FAST,Fastenal,FNM,Fannie Mae
AKS,AK Steel,CFC,Countrywide Financial Corp
COG,Cabot Oil & Gas,BC,Brunswick
MEE,Massey Energy,OMX,OfficeMax
LO,Lorillard Tobacco Company,ABK,Ambac Financial
RRC,Range Resources,TRB,Tribune Media
GME,GameStop,DJ,Dow Jones
JEC,Jacobs Engineering Group,AV,Avaya
EXPE,Expedia,SLR,Solectron
TDC,Teradata,NCR,NCR Corporation
TSO,Tesoro Corporation,MXIM,Maxim Integrated Products
ICE,Intercontinental Exchange,FDC,First Data
LUK,Leucadia National,KSE,KeySpan
DFS,Discover Financial,ADCT,ADC Telecommunications
KFT,Kraft Foods,TSG,Sabre Corporation
AVB,AvalonBay Communities,SBL,Symbol Technologies
JNPR,Juniper Networks,ABS,Albertsons
AMZN,Amazon,T,AT&T Corporation
STZ,Constellation Brands,GLK,Great Lakes Chemical
ESRX,Express Scripts,QTRN,Quintiles Transnational
INTU,Intuit,BS,Bethlehem Steel
SBL,Symbol Technologies,OI,Owens-Illinois
AYE,Allegheny Energy,GRA,WR Grace
ABK,Ambac Financial,CCK,Crown Holdings
JDSU,JDS Uniphase,RAD,RiteAid
CVG,Convergys,TMC,Times Mirror
SBUX,Starbucks,SMS,Shared Medical Systems
YHOO,Yahoo!,LDW,Laidlaw
WLP,Wellpoint,HPH,Harnischfeger Industries
ACT,Actavis,,
FSR,Firstar,AN,Amoco
CCL,Carnival Corp.,GRN,General Re
CPWR,Compuware,SUN,SunAmerica
CCI,Countrywide Credit Industries,USL,USLife
NCC,National City,MCK,McKesson
BUD,Anheuser Busch,HNG,Houston Natural Gas
DIS,The Walt Disney Company,AYE,Allegheny Energy
